Time,x,y,z
969750,-178.57257164384978,-1.1966253102135078,-165.5245410070781
969989,-178.60094432562045,-1.1435089146156687,-165.53747468420514
970091,-178.53521085321134,-1.1239123666029505,-165.5170624628354
970191,-178.6929855642976,-1.1458717820468343,-165.53746430554787
970291,-178.62430042461483,-1.105148950127642,-165.54460134461343
970391,-178.64247964490457,-1.0816987190198857,-165.5441481456082
970539,-178.61696968870902,-1.1619590858195352,-165.58699437966112
970640,-178.56123093454946,-1.0561269177824084,-165.5931704930408
970812,-178.64034499332806,-1.123761769772887,-165.58630402563492
970912,-178.66315437497644,-1.135225542708864,-165.56539529697716
971011,-178.6022945340606,-1.1568494968973837,-165.5801411858429
971112,-178.6829073846382,-1.2379809590912916,-165.601956754788
971288,-178.67777938324278,-1.3655831640452056,-165.60260728747812
971388,-178.6130754364716,-1.240329889531429,-165.5602244237523
971488,-178.70135701354388,-1.2712137917874953,-165.5804372049158
971587,-178.38557856307912,-1.2267924385046127,-165.56855631813036
971687,-178.58577766051835,-1.1940938499340712,-165.5877073755818
971788,-178.8217180112272,-1.107830691437641,-165.5852395566897
971888,-178.72391502792672,-1.057204142777871,-165.55004566015268
972035,-178.72217310162088,-1.0996415376577446,-165.55747428873568
972134,-178.85027655567959,-1.1112008744595225,-165.59193663108618
972260,-178.6045318986849,-1.1208238388652199,-165.61525600311936
972361,-178.5995810754983,-1.0233470953207053,-165.57159723973106
972586,-178.59710900859122,-1.171602536533204,-165.58037418772528
972687,-178.65003717808088,-0.9749204391795954,-165.54975787826817
972787,-178.71061028554988,-1.121787004424316,-165.59341031086316
972886,-178.5300268418568,-1.14440177487882,-165.6093476730335
972986,-178.72044886066593,-1.204346612783016,-165.6575693172035
973086,-178.6045318986849,-1.1208238388652199,-165.61525600311936
973241,-178.7643491799853,-1.2135324915808678,-165.6077526908016
973340,-178.61930290018248,-1.1765141015030744,-165.53074982394355
973440,-178.68527976530063,-1.308812822444513,-165.55328932545962
973541,-178.70855736843708,-1.2705423688906583,-165.55953130217904
973640,-178.5983145165138,-1.1788439908967048,-165.55269273862228
973835,-178.67072488694103,-1.197382136754023,-165.59379998080152
973935,-178.5963946003001,-1.1648165661636702,-165.5664192912522
974035,-178.80360498507716,-1.1876560286598596,-165.58624822292225
974137,-178.7303011952473,-1.168329619998551,-165.62149190421454
974285,-178.6119489375672,-1.1263559395927039,-165.65776499050307
974435,-178.6167208106252,-1.1615787078392477,-165.61562880217585
974535,-178.69407596132555,-1.2153459943098552,-165.60851767889355
974634,-178.48185581349586,-1.1511065328547008,-165.5674021369146
974735,-178.6469788588026,-1.2290746518393032,-165.55278520466035
974834,-178.63387694119328,-1.125082926704274,-165.54474665037597
974935,-178.68844313430904,-1.1673526884096022,-165.55857311610356
975135,-178.80218998445895,-1.1239534096208779,-165.62723484112374
975235,-178.66380676777672,-1.204169959702107,-165.67898308089926
975334,-178.6171891061348,-1.1681429379143402,-165.65040340104284
975435,-178.7410009291378,-1.0827834926529163,-165.58574478774017
975636,-178.69681356923087,-1.0674450941159677,-165.57123033736465
975737,-178.79131775972812,-0.9780245119505683,-165.5624671022633
975884,-178.78855123341967,-1.0695784116582205,-165.59903467683375
976026,-178.6212054926781,-1.0838849857993216,-165.58601187805456
976126,-178.71795746224473,-1.1274349975364224,-165.63504012754882
976225,-178.59494616975851,-1.1571882436477956,-165.6227355359038
976324,-178.64953322035316,-1.086873573762915,-165.62135541765065
976534,-178.68677896396144,-1.10324573169826,-165.62812966127166
976634,-178.71828307902274,-1.0150862033082786,-165.59214157498056
976783,-178.6502025396537,-1.0313762670509052,-165.54348239592636
976883,-178.68828894378893,-0.9420395823979212,-165.53517774723582
976984,-178.6307747123304,-1.0475149301675828,-165.5785470209469
977083,-178.76875400257182,-1.0229619390436975,-165.57790038680696
977233,-178.6316445156222,-1.16707051903806,-165.59384639670478
977333,-178.51559350181304,-1.139699912428073,-165.5738548605136
977433,-178.4427618834268,-1.2333931228830266,-165.58279242132468
977534,-178.52579631733272,-1.1663334187533254,-165.5949151384911
977633,-178.66183237606396,-1.2403927444442135,-165.62303176336226
977833,-178.57381972743687,-1.2098769687191029,-165.5741491885273
977956,-178.7352617731277,-1.1473291721132135,-165.557875064864
978128,-178.79947956007322,-1.2096193033910714,-165.56482405042192
978227,-178.75146941390423,-1.1600619378505315,-165.5014569822947
978327,-178.7860475506012,-1.0992705939275416,-165.5004627858797
978426,-178.77273487186713,-1.1075664922948931,-165.53625641732964
978583,-178.68013353899528,-1.160715511957953,-165.60803624592194
978681,-178.6361141983462,-1.089218647438986,-165.57205504530538
978781,-178.66314532763062,-1.0789161077625973,-165.55779900014298
978880,-178.63896261860094,-1.05394782214721,-165.54385170097368
978980,-178.6707316238822,-1.0846112582522083,-165.58643007671867
979131,-178.56664334807937,-1.0979138421421923,-165.57976386620874
979316,-178.65508298645452,-1.185103067776656,-165.60163670041908
979416,-178.68540188325852,-1.1460346769827912,-165.6008748298382
979516,-178.61170685112427,-1.1201756093659945,-165.59435915799398
979616,-178.62175077680567,-1.146678108181961,-165.62927829280977
979715,-178.655576122072,-1.135370010103381,-165.628807065832
979831,-178.68180304341013,-1.174521112686014,-165.61511787390126
979933,-178.68667188110652,-1.1594870364279855,-165.6426555172085
980032,-178.65808363278117,-1.212423398691004,-165.64356483647455
980132,-178.73185272362318,-1.238386524728895,-165.6430715703361
980232,-178.650464394807,-1.1501939365679674,-165.62209240857524
980416,-178.71137173799082,-1.2412799485417645,-165.6155656009833
980581,-178.63004559103155,-1.2096502243559621,-165.58743200717143
980680,-178.68836210484875,-1.2235937139374011,-165.5730966423653
980780,-178.61833469034482,-1.1693455605949974,-165.54543304156357
980879,-178.6912507134069,-1.244616942300958,-165.55248781254838
980980,-178.56280853222273,-1.1202329686141839,-165.53062398287508
981130,-178.68596704022164,-1.146680494945904,-165.54448282962386
981234,-178.62010064548122,-1.1833774344361978,-165.5377636540497
981333,-178.62351550738424,-1.1545914241203161,-165.54520290979443
981433,-178.61920165990193,-1.1201316868518802,-165.5300713690846
981534,-178.6702515490328,-1.1344913777691388,-165.551437811509
981634,-178.6658684659616,-1.1561114475318117,-165.55867222907952
981830,-178.65223908469767,-1.1582391033077368,-165.53019663520584
981932,-178.6444999370955,-1.152254379056343,-165.52326481392765
982033,-178.6564523629393,-1.1363212321062832,-165.54465674647867
982132,-178.62941548067192,-1.1466264928970187,-165.558926603395
982232,-178.64185840248575,-1.1314411354027816,-165.523044664962
982379,-178.7019348395306,-1.1592264227472775,-165.50888799055923
982479,-178.60550649241662,-1.1783491210221044,-165.52397457701855
982580,-178.66522964781174,-1.1493895587124114,-165.53778288150048
982679,-178.608517545603,-1.1491854186393404,-165.56610620232524
982878,-178.57366012295154,-1.0971149068236274,-165.57274709133654
982978,-178.61025352870888,-1.0504504585712509,-165.5510125369805
983178,-178.61932488684187,-1.063974983173978,-165.50857601256396
983301,-178.57527145761364,-1.1612117018143095,-165.51019424914196
983401,-178.6221507220336,-1.147051482879901,-165.59458024989178
983500,-178.6221507220336,-1.147051482879901,-165.59458024989178
983600,-178.5612231002178,-1.1122742009205286,-165.6086326176262
983728,-178.71675882150217,-1.1141884073701787,-165.57850762123738
983828,-178.64041864586747,-1.1801444896402864,-165.586972359832
983927,-178.70892836426916,-1.1642914888067135,-165.59390573281496
984132,-178.61258648609595,-1.127267819679742,-165.5866187475876
984232,-178.7071758946675,-1.1504153879366101,-165.59376696837282
984333,-178.60994320288623,-1.162603951675411,-165.60183064975843
984477,-178.8265278666698,-1.092764286662003,-165.61973674268444
984601,-178.8265278666698,-1.092764286662003,-165.61973674268444
984701,-178.75795037591675,-1.046073466468093,-165.52879378378245
984800,-178.75795037591675,-1.046073466468093,-165.52879378378245
984901,-178.5708935679027,-1.1828275318236505,-165.51744728186722
985000,-178.60684522242394,-1.1916904611964643,-165.56663981367618
985127,-178.62469782505372,-1.167790980398938,-165.60174319081923
985323,-178.64724839182173,-1.2353477734550073,-165.60925057129228
985422,-178.6745644730273,-1.169109039434188,-165.55873484070113
985522,-178.6921213865412,-1.1952442656350544,-165.54497559436717
985622,-178.5410445954545,-1.1719960788751433,-165.553194807145
985826,-178.6200106191554,-1.183146269816504,-165.55252132134004
985926,-178.57916441767736,-1.1389749039931105,-165.55239536143736
986026,-178.68924033373827,-1.1742202287416104,-165.56558293482604
986125,-178.6113141320406,-1.1701493735595263,-165.55245359986776
986226,-178.68158466596694,-1.1683017327065859,-165.5517146477615
986375,-178.69673915946137,-1.1236875299028446,-165.5857500497159
986562,-178.67591327563767,-1.12616743711909,-165.5938006524326
986673,-178.75926346598737,-1.1157205340285699,-165.58592886965707
986773,-178.80908654553727,-1.1792562899292252,-165.6424970558864
986873,-178.67453808130284,-1.1751107488954973,-165.64295905647063
986972,-178.76054974212013,-1.1291982185184728,-165.62770005905787
987125,-178.70532941334224,-1.1927810953319804,-165.60814332591622
987227,-178.67591327563767,-1.12616743711909,-165.5938006524326
987327,-178.77929202867006,-1.1063598174907558,-165.57087651661908
987426,-178.665032701394,-1.0366285530644388,-165.53647103648078
987526,-178.62158658775104,-1.0842607936931554,-165.55131538671745
987728,-178.6382305553324,-1.0473071696089546,-165.5220805327819
987829,-178.59750411576584,-1.1158335942847395,-165.5302308881087
987928,-178.65829825102648,-1.1504213257588254,-165.53004383304045
988028,-178.7738090599351,-1.1710962578164357,-165.52216600742062
988127,-178.658618237768,-1.1507108093277743,-165.50228763052132
988227,-178.74653660547912,-1.175019200638704,-165.48085440022035
988424,-178.82419333984421,-1.1225494448488624,-165.50727463028363
988557,-178.74057991886946,-1.076396340442459,-165.53622463130355
988656,-178.8038549244201,-1.1316714812867354,-165.55008545434242
988755,-178.71180839360613,-1.1291500995204757,-165.55790553446414
988877,-178.77682265862398,-1.1983118494268101,-165.57188201564438
988977,-178.60007399626056,-1.2550480018732295,-165.63775939783915
989124,-178.6606858413207,-1.170865345771472,-165.55889699041634
989223,-178.6078792599049,-1.1424740821105523,-165.54521325432003
989323,-178.56855564873925,-1.168249351945666,-165.57368469516592
989422,-178.56878924099124,-1.1123372280767352,-165.53740623727052
989522,-178.64501258628735,-1.096611136594663,-165.45926717109887
989773,-178.55761109857298,-1.1233175207110926,-165.35458763271728
989876,-178.63683960433417,-1.1403714410543588,-165.42517412241108
989976,-178.61356981738822,-1.0722478203810042,-165.47315082971554
990123,-178.61122357688205,-1.113769086806853,-165.55177113038755
990222,-178.70742475705103,-1.1507727808568642,-165.56513204633117
990323,-178.65165764421877,-1.2138869076592376,-165.5941934853131
990469,-178.70806273860399,-1.1575027774284128,-165.58602028911213
990569,-178.68301546645324,-1.1818946166927833,-165.57961401502257
990677,-178.6051632511412,-1.121585393873405,-165.5519251998487
990778,-178.61625417340088,-1.1551707269009153,-165.57304036897565
990877,-178.62582387459915,-1.1188004469440316,-165.56556818593077
990977,-178.64329790884395,-1.2011780630708606,-165.56637300270447
