Time,x,y,z
969750,-178.64429477925185,-1.2072385932291418,-126.09587046979696
969989,-178.60066220955176,-1.1828898878479606,-126.0647517137514
970091,-178.59120008518403,-1.195272730751721,-126.08064221763463
970191,-178.55385295120018,-1.1679230561156555,-126.0399982141711
970291,-178.59098854803108,-1.1639995855335674,-126.08025983154381
970391,-178.58180072980542,-1.1612756003653513,-126.05527196147565
970539,-178.62194815767344,-1.1634139840235571,-126.11121944118622
970640,-178.63141163190352,-1.1666238773861315,-126.10175596695619
970812,-178.6532877104679,-1.1633522880814389,-126.10149475951735
970912,-178.64107868875348,-1.1699155131096997,-126.07982110007056
971011,-178.6690312807003,-1.1788865899496126,-126.10151535711846
971112,-178.65978807304455,-1.176002739062434,-126.08593571143436
971288,-178.65683901024292,-1.1700925751693696,-126.06084866539271
971388,-178.61658066009224,-1.2142010910419114,-126.05555848405156
971488,-178.5735143476892,-1.2371284347925031,-125.99996898789888
971587,-178.64766912965496,-1.2603437004348996,-126.10269661738988
971687,-178.62653069208827,-1.2798497571989507,-126.0500064422878
971788,-178.5927732289578,-1.3523205028146077,-126.03245846137516
971888,-178.66421608248865,-1.3698801777494076,-126.08815065529987
972035,-178.65185716589318,-1.3762536716114568,-126.08213897104177
972134,-178.67344495569745,-1.4038586660650467,-126.11971580149391
972260,-178.67353042828256,-1.4350993743440439,-126.1263121316446
972361,-178.64909671263192,-1.4481671334131399,-126.08925452855763
972586,-178.67383068645108,-1.40421809913728,-126.08843316601619
972687,-178.6678104757306,-1.4697525841741925,-126.1049100005701
972787,-178.65221974969174,-1.4234253349327575,-126.07011022479514
972886,-178.67067698118694,-1.4601702601965565,-126.12040309390915
972986,-178.6704768963005,-1.4288972526683172,-126.1200427318848
973086,-178.69818254731658,-1.437715234835845,-126.15731612498101
973241,-178.66740173126078,-1.4072066379187602,-126.10418774278057
973340,-178.67671344489392,-1.4257299079440597,-126.11992836757746
973440,-178.685824119832,-1.4129824614855955,-126.13530985007056
973541,-178.63629303283184,-1.3765076292062783,-126.07292241762258
973640,-178.67342320432562,-1.3883679914218658,-126.11013089166079
973835,-178.63618038842316,-1.3764715343852008,-126.0791577001503
973935,-178.6577918806552,-1.3728674202370765,-126.10390348362611
974035,-178.6143529842958,-1.3332115722258755,-126.04761397251286
974137,-178.6419212425504,-1.3106069639890634,-126.08771462369981
974285,-178.62600282612044,-1.279291020681778,-126.09692729226741
974435,-178.60064445695718,-1.245014612711459,-126.1030266915361
974535,-178.56353418073644,-1.2333359278543052,-126.05636057078853
974634,-178.5792834860783,-1.2488637370284035,-126.05638357754277
974735,-178.61635147085804,-1.2294627542021808,-126.08702717218523
974834,-178.60728658485857,-1.2423715549332426,-126.06223333302219
974935,-178.65407769313356,-1.241759597655341,-126.08053233334321
975135,-178.59464529509577,-1.2329274418359986,-126.07166161064447
975235,-178.55095658959354,-1.22404103017167,-126.05637841221194
975334,-178.49441418775885,-1.2056204234433612,-126.06297436412254
975435,-178.44120511727772,-1.1780524917938249,-126.0475178583555
975636,-178.45947945423487,-1.152483112096628,-126.07826891683628
975737,-178.46296374392142,-1.1435490170617348,-126.04059776469144
975884,-178.5032732126464,-1.114910775840077,-126.05546223465605
976026,-178.54655998850973,-1.0921701490429945,-126.0954405987999
976126,-178.54704966505162,-1.0773225663948496,-126.03268550194059
976225,-178.63405891287556,-1.0790786783466564,-126.09445042373704
976324,-178.64657050471843,-1.0572872241286457,-126.07843459281227
976534,-178.69648096684415,-1.0164668459581159,-126.06186905978245
976634,-178.67782736828846,-1.0261155120642724,-126.05273894454042
976783,-178.7586870173018,-0.9845882706555236,-126.0766123750412
976883,-178.7681656927747,-1.0187597251970937,-126.0925388806768
976984,-178.8304461639107,-1.018023732959915,-126.12325884756146
977083,-178.8119278309119,-0.981134861447277,-126.06988494318448
977233,-178.83054545644328,-0.9715863379285684,-126.0758621683583
977333,-178.84917244115493,-0.9774363502643644,-126.10080918040522
977433,-178.8647276455343,-0.977297986525573,-126.10691009609872
977534,-178.86774485304446,-0.9677758263871333,-126.11619548061299
977633,-178.86457626359407,-0.9615410998837834,-126.11616046117152
977833,-178.8646521015999,-0.9461760578901138,-126.09096174862364
