Time (ms), Pressure, Temperature
903884765, 101318.09375, 1.6708781913621351e-06
904069335, 101318.09375, 1.6917504126467975e-06
904174804, 101318.09375, 1.7036297776940046e-06
904279296, 101318.09375, 1.7155091427412117e-06
904383789, 101318.09375, 1.7273885077884188e-06
904488281, 101318.1875, 1.73937894487608e-06
904592773, 101318.1875, 1.7511473515696707e-06
904697265, 101318.1875, 1.7632487470109481e-06
904803710, 101318.1875, 1.7752391840986093e-06
904908203, 101318.1875, 1.7871185491458164e-06
905012695, 101318.1875, 1.7989979141930235e-06
905117187, 101318.1875, 1.8108772792402306e-06
905221679, 101318.1875, 1.8227566442874377e-06
905326171, 101318.1875, 1.8346361230214825e-06
905430664, 101318.1875, 1.8465154880686896e-06
905535156, 101318.1875, 1.8583948531158967e-06
905639648, 101318.1875, 1.8702742181631038e-06
905744140, 101318.1875, 1.882153583210311e-06
905849609, 101318.1875, 1.894144020297972e-06
905955078, 101318.1875, 1.9061344573856331e-06
906059570, 101318.1875, 1.9286790120531805e-06
906165039, 101318.1875, 1.9526598862285027e-06
906270507, 101318.1875, 1.976640760403825e-06
906375976, 101318.1875, 2.0006214072054718e-06
906481445, 101318.1875, 2.024602281380794e-06
906586914, 101318.1875, 2.0485831555561163e-06
906784179, 101318.1875, 2.0938803118042415e-06
906891601, 101318.125, 2.1178609586058883e-06
906997070, 101318.125, 2.1418418327812105e-06
907102539, 101318.125, 2.1658227069565328e-06
907208007, 101318.125, 2.189803581131855e-06
907313476, 101318.1875, 2.213784227933502e-06
907418945, 101318.25, 2.237765102108824e-06
907524414, 101318.3125, 2.2617459762841463e-06
907629882, 101318.3125, 2.2857268504594686e-06
907735351, 101318.3125, 2.3097074972611153e-06
907840820, 101318.3125, 2.3336883714364376e-06
907946289, 101318.40625, 2.35766924561176e-06
908051757, 101318.53125, 2.381650119787082e-06
908157226, 101318.65625, 2.405630766588729e-06
908262695, 101318.65625, 2.429611640764051e-06
908367187, 101318.875, 2.4533703708584653e-06
908472656, 101318.90625, 2.4773512450337876e-06
908578125, 101318.90625, 2.50133211920911e-06
908683593, 101318.90625, 2.525312993384432e-06
908789062, 101318.90625, 2.549293640186079e-06
908894531, 101318.90625, 2.573274514361401e-06
909000000, 101318.90625, 2.5972553885367233e-06
909105468, 101318.90625, 2.6212362627120456e-06
909210937, 101318.90625, 2.6452169095136924e-06
909316406, 101318.875, 2.6691977836890146e-06
909421875, 101318.875, 2.693178657864337e-06
909671875, 101318.875, 2.7502439934323775e-06
909778320, 101318.875, 2.7742248676076997e-06
909943359, 101318.875, 2.8119725357100833e-06
910049804, 101318.875, 2.83595318251173e-06
910155273, 101318.875, 2.8599340566870524e-06
910260742, 101318.75, 2.8839149308623746e-06
910366210, 101318.65625, 2.907895805037697e-06
910471679, 101318.625, 2.9318764518393436e-06
910576171, 101318.4375, 2.9556354093074333e-06
910681640, 101318.4375, 2.97961605610908e-06
910787109, 101318.34375, 3.0035969302844023e-06
910892578, 101318.34375, 3.0275778044597246e-06
910998046, 101318.34375, 3.051558678635047e-06
