Rocket Name,ICLR_Raven
Max Altitude,861.36 feet
Max Velocity,238.04 feet/sec
Pad Altitude ASL,98.53 feet
Launch date,14-Apr-24
Launch time,13:42:20.628
Time to first burnout,1.3 sec
Time to Apo channel fire,0.0 sec
Time to gyro over-range,0.0 sec
Time to third channel fire,0.0 sec
Time to main channel fire,0.0 sec
Time to fourth channel fire,1.3 sec
Launch rod angle,3.8 deg
Tilt angle at burnout,5.4 deg
Roll rate at burnout,4.3 deg/sec
Thrust tilt efficiency,98.92%
Number of ascent rolls,-0.013
Horiz. velocity at apogee,35.7 feet/sec
Inertial navigation max alt,846.6 feet
Max motor burn acceleration,8.9 Gs
Peak drag deceleration,0.5 Gs
Apo channel max accel,0.0 Gs
Main channel max accel,0.0 Gs
3rd channel max accel,0.0 Gs
4th channel max accel,0.0 Gs
Max landing accel,123.9 Gs
Drogue descent rate,0.0 feet/sec
Main chute deploy altitude,0.0 feet
Main chute descent rate,0.0 feet
Landing time,13:42:56.208
Temperature on pad,71.9 F
Max temperature,72.0 F
Min Temperature,70.76 F
Battery voltage on pad,12.15 V
Min battery voltage,12.14 V
Battery voltage at landing,12.1 V
Build date,03-Feb-24
Build time,11:34:33.000
Flight number,5
Direction of 1st motion,-0.9999,-0.0077,-0.0081
Gravity direction on pad,-0.9971,-0.0377,-0.0666
Low-G accel pad offset,0.0007,0.0000,0.0000
Hi-G accel pad offset,-0.05,0.63,0.97
Pad gyro rates (deg/sec),0.54,0.10,-0.51
Pad Hi-G Accel,-1.04,0.59,0.90
Pad low-G Accel,-1.00,-0.04,-0.07
